nombre,categoria,propio_de_fabricante,consultas_chrome,pedido_por_paginas_chrome,bloqueado_por_chrome,consultas_brave,pedido_por_paginas_brave,bloqueado_por_brave,consultas_firefox,pedido_por_paginas_firefox,bloqueado_por_firefox,consultas_safari,pedido_por_paginas_safari,bloqueado_por_safari,consultas_duckduckgo,pedido_por_paginas_duckduckgo,bloqueado_por_duckduckgo
api.mercadolibre.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,1,,
api.permutive.com,publicidad,0,2,1,0,2,1,1,0,1,0,0,,,0,,
applets.ebxcdn.com,rastreador,0,2,1,0,3,1,0,3,1,0,0,,,0,,
apps.smartadserver.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
b1sync.outbrain.com,publicidad,0,5,1,0,5,1,0,4,1,0,0,,,0,,
b1sync.zemanta.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
bcp.crwdcntrl.net,rastreador,0,4,1,0,2,1,0,5,1,0,0,,,0,,
beacon.lynx.cognitivlabs.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
beacons.gcp.gvt2.com,publicidad,1,8,0,0,0,0,0,0,0,0,0,,,0,,
beacons.gvt2.com,publicidad,1,0,0,0,2,0,0,0,0,0,0,,,0,,
bh.contextweb.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
brave-core-ext.s3.brave.com,desconocido,1,0,0,0,2,0,0,0,0,0,0,,,0,,
bttrack.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
buy.tinypass.com,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,2,,
c.amazon-adsystem.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
c.go-mpulse.net,rastreador,0,2,1,0,0,0,0,3,1,0,0,,,0,,
c1.adform.net,publicidad,0,4,1,0,3,1,0,0,1,0,0,,,0,,
c2.piano.io,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,2,,
capi.connatix.com,rastreador,0,0,0,0,3,1,0,0,0,0,0,,,0,,
cdn.cxense.com,rastreador,0,2,1,0,2,1,0,3,1,0,0,,,0,,
cdn.flashtalking.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
cdn.id5-sync.com,publicidad,0,4,1,0,2,1,0,3,1,0,0,,,0,,
cdn.jsdelivr.net,desconocido,0,2,1,0,0,0,0,3,1,0,0,,,0,,
cdn.mgaru.dev,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
cdn.permutive.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
cdn.taboola.com,publicidad,0,2,1,0,0,1,1,3,1,0,0,,,0,,
cdn.tinypass.com,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,1,,
cdnjs.cloudflare.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,2,,
cds.taboola.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
ce.lijit.com,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,0,,
ced.sascdn.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
clients2.google.com,telemetria,1,0,0,0,0,0,0,0,0,0,0,,,4,,
clientservices.googleapis.com,telemetria,1,2,0,0,0,0,0,0,0,0,0,,,0,,
cloudfront-us-east-1.images.arcpublishing.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,1,,
cm-mx.advolve.io,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
cm-supply-web.gammaplatform.com,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
cm.adform.net,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
cm.adgrx.com,desconocido,0,2,1,0,0,0,0,3,1,0,0,,,0,,
cm.g.doubleclick.net,publicidad,0,6,1,0,3,1,0,3,1,0,0,,,0,,
cm.mgid.com,publicidad,0,2,1,0,0,0,0,0,0,0,0,,,0,,
cms-xch-chicago.33across.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
cms.quantserve.com,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,0,,
code.jquery.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,3,,
collector.bsg.brave.com,desconocido,1,0,0,0,2,0,0,0,0,0,0,,,0,,
comcluster.cxense.com,rastreador,0,4,1,0,3,1,0,3,1,0,0,,,0,,
componentupdater.brave.com,desconocido,1,0,0,0,4,0,0,0,0,0,0,,,0,,
config.aps.amazon-adsystem.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
connect.facebook.net,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,0,,
connectid.analytics.yahoo.com,rastreador,0,4,1,0,3,1,0,3,1,0,0,,,0,,
content-autofill.googleapis.com,desconocido,1,8,0,0,0,0,0,0,0,0,0,,,0,,
content-signature-2.cdn.mozilla.net,esperado,1,0,0,0,0,0,0,1,0,0,0,,,0,,
content.quantcount.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
cookie-sync.adsmovil.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
cpm.chocolateplatform.com,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
crb.kargo.com,publicidad,0,2,1,0,0,0,0,0,0,0,0,,,0,,
creative-measurement.quantcount.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
creativecdn.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
cs-rtb.minutemedia-prebid.com,desconocido,0,2,1,0,3,1,0,0,1,0,0,,,0,,
cs-server-s2s.yellowblue.io,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
cs.admanmedia.com,publicidad,0,4,1,0,3,1,0,3,1,0,0,,,0,,
cs.krushmedia.com,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,0,,
cs.loudecho.ai,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
cs.media.net,rastreador,0,5,1,0,4,1,0,3,1,0,0,,,0,,
cs2.mathilde-ads.com,rastreador,0,2,1,0,3,1,0,0,0,0,0,,,0,,
csi.gstatic.com,rastreador,1,2,1,0,3,1,0,3,1,0,2,,,0,,
csync-global.smartadserver.com,publicidad,0,2,1,0,2,1,0,0,0,0,0,,,0,,
csync-us.smartadserver.com,publicidad,0,2,1,0,2,1,0,0,0,0,0,,,0,,
csync.loopme.me,desconocido,0,2,1,0,5,1,0,5,1,0,0,,,0,,
csync.smilewanted.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
d.adroll.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
d0e43218ec55f8d0c5bb9f7d92dffeea.safeframe.googlesyndication.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
d338c94f7210a021647574e24c7ee71c.safeframe.googlesyndication.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
d9.flashtalking.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
data.adsrvr.org,publicidad,0,0,0,0,2,1,0,0,0,0,0,,,0,,
de.tynt.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
dis.criteo.com,publicidad,0,2,1,0,3,1,0,5,1,0,0,,,0,,
dmp.im-apps.net,desconocido,0,4,1,0,3,1,0,3,1,0,0,,,0,,
dnacdn.net,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,0,,
dp1.33across.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
dpm.demdex.net,rastreador,0,2,1,0,0,0,0,3,1,0,0,,,0,,
dsp-2.presage.io,desconocido,0,0,0,0,3,1,0,0,1,0,0,,,0,,
dsp-cookie.adfarm1.adition.com,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,0,,
dsp-service.admatic.de,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
dsp-service.monetixads.com,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
dsp.360yield.com,publicidad,0,2,1,0,3,1,0,5,1,0,0,,,0,,
dsp.adkernel.com,desconocido,0,2,1,0,3,1,0,2,1,0,0,,,0,,
dsp.nrich.ai,desconocido,0,0,0,0,3,1,0,3,1,0,0,,,0,,
dsum-sec.casalemedia.com,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,0,,
dt.adsafeprotected.com,publicidad,0,0,0,0,0,0,0,5,1,0,0,,,0,,
duckduckgo.com,desconocido,1,0,0,0,0,0,0,0,0,0,2,,,1,,
dv-c3e594c6d429469e90b54478358619c3.ecs.us-east-1.on.aws,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
e2c16.gcp.gvt2.com,desconocido,1,2,0,0,0,0,0,0,0,0,0,,,0,,
eb2.3lift.com,publicidad,0,4,1,0,3,1,0,3,1,0,0,,,0,,
edgedl.me.gvt1.com,esperado,1,2,0,0,0,0,0,0,0,0,0,,,2,,
endpoint2.mathilde-ads.com,rastreador,0,2,1,0,3,1,0,3,1,0,0,,,0,,
ep1.adtrafficquality.google,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
ep2.adtrafficquality.google,desconocido,0,4,1,0,5,1,0,3,1,0,0,,,0,,
equativ-match.dotomi.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
esp.rtbhouse.com,desconocido,0,0,0,0,3,1,0,3,1,0,0,,,0,,
eu-u.openx.net,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
eus.rubiconproject.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
event.getblue.io,desconocido,0,4,1,0,4,1,0,3,1,0,0,,,0,,
events.newsroom.bi,rastreador,0,6,1,0,3,1,1,5,1,0,2,,,0,,
experiences.mrf.io,desconocido,0,2,1,0,0,0,0,3,1,0,0,,,0,,
experiences.newsroom.bi,desconocido,0,4,1,0,3,1,0,7,1,0,2,,,0,,
external-content.duckduckgo.com,desconocido,1,0,0,0,0,0,0,0,0,0,1,,,1,,
fastlane.rubiconproject.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
firefox-settings-attachments.cdn.mozilla.net,desconocido,1,0,0,0,0,0,0,5,0,0,0,,,0,,
firefox.settings.services.mozilla.com,esperado,1,0,0,0,0,0,0,3,0,0,0,,,0,,
fonts.googleapis.com,desconocido,1,4,1,0,5,1,0,3,1,0,0,,,2,,
fonts.gstatic.com,desconocido,1,8,1,0,7,1,0,4,1,0,0,,,0,,
freewheel-match.dotomi.com,publicidad,0,2,1,0,0,0,0,0,0,0,0,,,0,,
fundingchoicesmessages.google.com,desconocido,1,2,1,0,0,0,0,3,1,0,0,,,0,,
fw.adsafeprotected.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
gem.gbc.criteo.com,publicidad,0,0,0,0,0,0,0,6,1,0,0,,,0,,
gemini.google.com,desconocido,1,2,0,0,2,0,0,0,0,0,0,,,2,,
go-updater.brave.com,desconocido,1,0,0,0,4,0,0,0,0,0,0,,,0,,
go.mediagotechnology.com,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
gocm.c.appier.net,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
google-bidout-d.openx.net,publicidad,0,4,1,0,3,1,0,3,1,0,0,,,0,,
googleads.g.doubleclick.net,publicidad,0,8,1,0,5,1,0,3,1,0,2,,,0,,
grid-bidder.criteo.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
gum.criteo.com,publicidad,0,6,1,0,3,1,0,5,1,0,0,,,0,,
gumgum-match.dotomi.com,publicidad,0,2,1,0,3,1,0,5,1,0,0,,,0,,
gw-iad-bid.ymmobi.com,desconocido,0,2,1,0,2,1,0,0,0,0,0,,,0,,
hb.20m.es,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,3,,
hb.trustedstack.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
hbx.media.net,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
hde.tynt.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
http2.mlstatic.com,desconocido,0,2,1,0,3,1,1,4,1,0,0,,,3,,
i.ctnsnet.com,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
i.liadm.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
i.ytimg.com,desconocido,0,4,1,0,5,1,0,3,1,0,4,,,3,,
ib.adnxs.com,publicidad,0,6,1,0,5,1,0,0,1,0,0,,,0,,
ice.360yield.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
icu.newsroom.bi,desconocido,0,0,0,0,0,1,1,3,1,0,0,,,0,,
id.a-mx.com,rastreador,0,2,1,0,3,1,0,3,1,0,0,,,0,,
id.cxense.com,rastreador,0,4,1,0,2,1,0,3,1,0,0,,,0,,
id.rlcdn.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
id.rtb.mx,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
id5-sync.com,publicidad,0,4,1,0,5,1,0,3,1,0,0,,,0,,
ident.mygaru.com,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,0,,
idpix.media6degrees.com,publicidad,0,2,1,0,0,0,0,0,0,0,0,,,0,,
idsync.rlcdn.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
image2.pubmatic.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
image4.pubmatic.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
image6.pubmatic.com,publicidad,0,2,1,0,5,1,0,5,1,0,0,,,0,,
image8.pubmatic.com,desconocido,0,2,1,0,3,1,0,4,1,0,0,,,0,,
imagenes2.eltiempo.com,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,0,,
images.taboola.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
imasdk.googleapis.com,desconocido,1,4,1,0,4,1,0,3,1,0,0,,,3,,
improving.duckduckgo.com,desconocido,1,0,0,0,0,0,0,0,0,0,3,,,0,,
incoming.telemetry.mozilla.org,telemetria,1,0,0,0,0,0,0,3,0,0,0,,,0,,
invstatic101.creativecdn.com,desconocido,0,4,1,0,3,1,0,3,1,0,0,,,0,,
ipac.ctnsnet.com,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,0,,
ittpx.eskimi.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
jelly.mdhv.io,rastreador,0,2,1,0,0,0,0,0,0,0,0,,,0,,
jnn-pa.googleapis.com,desconocido,1,4,1,0,3,1,0,3,1,0,2,,,2,,
js-sec.indexww.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
js.stripe.com,desconocido,0,4,1,0,5,1,0,3,1,0,0,,,3,,
jsconfig.adsafeprotected.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
k8s1-event-tracker-ny.lb.indexww.com,publicidad,0,0,0,0,0,0,0,4,1,0,0,,,0,,
la-trc-events.taboola.com,publicidad,0,2,1,0,0,0,0,4,1,0,0,,,0,,
lb.eu-1-id5-sync.com,rastreador,0,2,1,0,3,1,0,3,1,0,0,,,0,,
lbs.eu-1-id5-sync.com,rastreador,0,2,1,0,3,1,0,3,1,0,0,,,0,,
live.primis.tech,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
m.stripe.com,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,3,,
m.stripe.network,desconocido,0,2,1,0,3,1,0,0,1,0,0,,,3,,
marfeelexperimentsexperienceengine.mrf.io,desconocido,0,4,1,0,2,1,0,7,1,0,2,,,0,,
match.adsby.bidtheatre.com,publicidad,0,2,1,0,0,0,0,0,0,0,0,,,0,,
match.adsrvr.org,publicidad,0,4,1,0,2,1,0,3,1,0,0,,,0,,
match.deepintent.com,publicidad,0,2,1,0,3,1,0,4,1,0,0,,,0,,
match.prod.bidr.io,publicidad,0,4,1,0,7,1,0,3,1,0,0,,,0,,
match.sharethrough.com,publicidad,0,5,1,0,3,1,0,3,1,0,0,,,0,,
matt.mercadolibre.com.co,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,3,,
measureadv.com,rastreador,0,2,1,0,3,1,0,3,1,0,0,,,0,,
melidata.mercadolibre.com,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,3,,
melidata.mercadopago.com,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,3,,
melidata.mercadopago.com.co,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,3,,
melidata.tucarro.com.co,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,3,,
movilidad.ceet.co,desconocido,0,2,1,0,2,1,0,2,1,0,0,,,1,,
mpc-prod-28-1053047382554.us-central1.run.app,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
ms-cookie-sync.presage.io,desconocido,0,4,1,0,5,1,0,0,1,0,0,,,0,,
mtalk.google.com,esperado,1,1,0,0,0,0,0,0,0,0,0,,,0,,
mweb.ck.inmobi.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
news.google.com,desconocido,1,4,1,0,0,0,0,3,1,0,0,,,2,,
o11y-proxy-otel-frontend.meli.com,desconocido,0,2,1,0,3,1,0,0,1,0,0,,,3,,
oa.openxcdn.net,desconocido,0,4,1,0,3,1,0,2,1,0,0,,,0,,
ogads-pa.clients6.google.com,desconocido,1,2,0,0,0,0,0,0,0,0,0,,,0,,
ogury-match.dotomi.com,publicidad,0,0,0,0,3,1,0,0,0,0,0,,,0,,
onetag-sys.com,desconocido,0,5,1,0,3,1,0,2,1,0,0,,,0,,
optimizationguide-pa.googleapis.com,desconocido,1,4,0,0,0,0,0,0,0,0,0,,,0,,
ow.pubmatic.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
p.rfihub.com,desconocido,0,2,1,0,3,1,0,0,1,0,0,,,0,,
pagead2.googlesyndication.com,publicidad,0,10,1,0,5,1,0,4,1,0,2,,,0,,
pbs-cs.yellowblue.io,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
pbs.yahoo.com,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
pbsj.bricks-co.com,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
pippio.com,rastreador,0,2,1,0,0,0,0,3,1,0,0,,,0,,
pixel-eu.rubiconproject.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
pixel-sync.sitescout.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
pixel-us-east.rubiconproject.com,publicidad,0,2,1,0,3,1,0,0,1,0,0,,,0,,
pixel-us-west.rubiconproject.com,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,0,,
pixel.adsafeprotected.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
pixel.onaudience.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
pixel.quantcount.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
pixel.quantserve.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
pixel.rubiconproject.com,publicidad,0,5,1,0,5,1,0,0,1,0,0,,,0,,
pixel.tapad.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
placements.mercadolibre.com,desconocido,0,0,0,0,3,1,0,3,1,0,0,,,3,,
play.google.com,desconocido,1,6,1,0,2,0,0,5,1,0,0,,,2,,
pm-widget.taboola.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
pmp.mxptint.net,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
pool.liftdsp.com,desconocido,0,0,0,0,3,1,0,3,1,0,0,,,0,,
prebid-match.dotomi.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
prebid.a-mo.net,desconocido,0,2,1,0,3,1,0,0,0,0,0,,,0,,
prebid.admatic.de,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
prebid.monetixads.com,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
preenrolamiento.mathilde-ads.com,rastreador,0,2,1,0,3,1,0,3,1,0,0,,,3,,
print1.mercadoclics.com,desconocido,0,2,1,0,0,1,1,3,1,0,0,,,3,,
prism-tracking.pacvue.com,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
pubads.g.doubleclick.net,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
pubmatic-match.dotomi.com,publicidad,0,2,1,0,0,0,0,3,1,0,0,,,0,,
px.ads.linkedin.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
pxl.iqm.com,publicidad,0,2,1,0,3,1,0,0,0,0,0,,,0,,
qvdt3feo.com,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,0,,
r2---sn-ja5gvjv-c59z.gvt1.com,desconocido,1,0,0,0,0,0,0,0,0,0,0,,,4,,
r3---sn-tn.googlevideo.com,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
recommendations-gateway-59wv044u.uc.gateway.dev,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
redirector.brave.com,desconocido,1,0,0,0,4,0,0,0,0,0,0,,,0,,
redirector.gvt1.com,desconocido,1,0,0,0,0,0,0,0,0,0,0,,,2,,
rr1---sn-q4flrnl7.googlevideo.com,desconocido,0,0,0,0,0,1,1,0,0,0,0,,,3,,
rr2---sn-ja5gvjv-c59z.googlevideo.com,desconocido,0,2,1,0,3,1,0,0,1,0,2,,,0,,
rr4---sn-hgn7yn7z.googlevideo.com,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,0,,
rr4---sn-ja5gvjv-c59z.googlevideo.com,desconocido,0,2,1,0,2,1,0,3,1,0,0,,,0,,
rr4---sn-q4flrner.googlevideo.com,desconocido,0,2,1,0,0,0,0,0,0,0,0,,,0,,
rr5---sn-cvb7sn7r.googlevideo.com,desconocido,0,0,0,0,0,0,0,3,1,0,0,,,0,,
rtb-csync.smartadserver.com,publicidad,0,4,1,0,3,1,0,4,1,0,0,,,0,,
rtb.adentifi.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
rtb.adstanding.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
rtb.gumgum.com,publicidad,0,5,1,0,3,1,0,3,1,0,0,,,0,,
rtb.mfadsrvr.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
rtb.openx.net,publicidad,0,4,1,0,5,1,0,3,1,0,0,,,0,,
rtb2-useast.delivrdsp.ai,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
s-cs.rmp.rakuten.com,desconocido,0,0,0,0,3,1,0,0,0,0,0,,,0,,
s.ad.smaato.net,desconocido,0,2,1,0,5,1,0,4,1,0,0,,,0,,
s.amazon-adsystem.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
s.company-target.com,desconocido,0,2,1,0,3,1,0,3,1,0,0,,,0,,
s.go-mpulse.net,rastreador,0,2,1,0,0,1,1,3,1,0,0,,,0,,
s.richaudience.com,publicidad,0,2,1,0,0,0,0,0,0,0,0,,,0,,
s.seedtag.com,desconocido,0,5,1,0,3,1,0,3,1,0,0,,,0,,
s.tribalfusion.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
s0.2mdn.net,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
safebrowsing.brave.com,desconocido,1,0,0,0,2,0,0,0,0,0,0,,,0,,
sb.scorecardresearch.com,publicidad,0,2,1,0,3,1,0,1,1,0,2,,,0,,
script.crazyegg.com,publicidad,0,2,1,0,3,1,0,3,1,0,0,,,0,,
script.hotjar.com,publicidad,0,0,0,0,0,0,0,3,1,0,0,,,0,,
sdk.mrf.io,desconocido,0,4,1,0,2,1,1,3,1,0,2,,,0,,
secure-assets.rubiconproject.com,publicidad,0,2,1,0,2,1,0,3,1,0,0,,,0,,
